"Isolate
Identifier",,Genus,"Sample
treatment","Co-culture
Trial","Sample1
Sporophytes #","Sample2
Sporophytes #","Sample3
Sporophytes #","Sample4
Sporophytes #","Sample5
Sporophytes #","Sample6
Sporophytes #","Sample7
Sporophytes #","Sample8
Sporophytes #","Average of
Sporophytes #",control_Sporophytes#,difference,STD,"T.TEST
P-value","Log2
Fold
Change
",sporophyte_direction,Gametophyte_fold_change,gametophyte_direction
*M16,*M16_4_Maribacter,Maribacter,BT,4,4,2,16,1,0,2,11,8,5.5,0.125,5.375,5.656854249,0.017866151,2.700439718,positive,2.294447358,positive
*M16,*M16_1_Maribacter,Maribacter,BT,1,29,21,NA,NA,NA,NA,NA,NA,25,1.5,23.5,5.656854249,0.00070008,3.378511623,positive,1.190102883,positive
H8,H8_1_Maribacter,Maribacter,BT,1,7,5,NA,NA,NA,NA,NA,NA,6,1.5,4.5,1.414213562,0.003882537,1.485426827,positive,1,ns_positive
T14,T14_3_Maribacter,Maribacter,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.150140349,nd
*H12,*H12_4_Nonlabens,Nonlabens,BT,4,2,0,0,18,14,7,0,0,5.125,0.125,5,7.199950397,0.069977238,2.614709844,positive,-0.499101764,nd
*H12,*H12_3_Nonlabens,Nonlabens,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.863426947,positive
*H12,H12_1_Nonlabens,Nonlabens,BT,1,1,2,NA,NA,NA,NA,NA,NA,1.5,1.5,0,0.707106781,1,0,nd,1.010124217,ns_positive
*KM3,*KM3_2_Octadecabacter,Octadecabacter,BT,2,15,8,5,12,9,NA,NA,NA,9.8,13.2,-3.4,3.834057903,0.158525614,-0.394859617,nd,0.632268215,ns_positive
*KM3,*KM3_4_Octadecabacter,Octadecabacter,BT,4,0,4,0,0,0,0,0,0,0.5,0.125,0.375,1.414213562,0.478846886,0.584962501,nd,1.500898236,positive
*KM3,*KM3_3_Octadecabacter,Octadecabacter,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,2.023083613,positive
H2,H2_1_Octadecabacter,Octadecabacter,BT,1,1,0,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,0.631612594,nd
KM12,KM12_2_Octadecabacter,Octadecabacter,BT,2,13,17,15,18,14,NA,NA,NA,15.4,13.2,2.2,2.073644135,0.217406253,0.207804885,nd,-0.655171503,nd
H26,H26_2_Olleya,Olleya,BT,2,16,15,13,15,9,NA,NA,NA,13.6,13.2,0.4,2.792848009,0.833692525,0.040077439,nd,0.220329955,nd
M2,M2_1_Olleya,Olleya,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,-0.792195115,nd
MH1,MH1_1_Olleya,Olleya,BT,1,1,3,NA,NA,NA,NA,NA,NA,2,1.5,0.5,1.414213562,0.541469739,0.263034406,nd,1.172180975,weak_positive
*Man4,*Man4_4_Pseudoalteromonas,Pseudoalteromonas,BT,4,0,7,3,1,10,0,2,8,3.875,0.125,3.75,3.907410542,0.0171408,2.285402219,positive,0.202816883,nd
*Man4,*Man4_2_Pseudoalteromonas,Pseudoalteromonas,BT,2,16,16,15,17,15,NA,NA,NA,15.8,13.2,2.6,0.836660027,0.101829255,0.242570303,nd,0.555816155,nd
*Man4,*Man4_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,7,2,NA,NA,NA,NA,NA,NA,4.5,1.5,3,3.535533906,0.132418922,1.137503524,nd,-1.626185163,nd
*Man4,*Man4_3_Pseudoalteromonas,Pseudoalteromonas,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,0.478763097,nd
2Mal1,2Mal1_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,2,3,NA,NA,NA,NA,NA,NA,2.5,1.5,1,0.707106781,0.132418922,0.485426827,nd,-1.50589093,nd
2Mal2,2Mal2_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,0,3,NA,NA,NA,NA,NA,NA,1.5,1.5,0,2.121320344,1,0,nd,-0.757429697,nd
2Mal3,2Mal3_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,1,0,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,1.181169759,positive
2Man1,2Man1_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,3,0,NA,NA,NA,NA,NA,NA,1.5,1.5,0,2.121320344,1,0,nd,0.225292312,nd
2Man2,2Man2_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,6,2,NA,NA,NA,NA,NA,NA,4,1.5,2.5,2.828427125,0.126613874,1,nd,-0.827819025,nd
2Man7,2Man7_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,1,1,NA,NA,NA,NA,NA,NA,1,1.5,-0.5,0,0.3125,-0.321928095,nd,-0.14974712,nd
2MH3,2MH3_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,0,3,NA,NA,NA,NA,NA,NA,1.5,1.5,0,2.121320344,1,0,nd,1.163135836,weak_positive
H28,H28_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,2,1,NA,NA,NA,NA,NA,NA,1.5,1.5,0,0.707106781,1,0,nd,-1.449307401,nd
H33,H33_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,3,0,NA,NA,NA,NA,NA,NA,1.5,1.5,0,2.121320344,1,0,nd,1.079071571,ns_positive
J7,J7_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,3,1,NA,NA,NA,NA,NA,NA,2,1.5,0.5,1.414213562,0.541469739,0.263034406,nd,0.7206176,nd
KM7,KM7_2_Pseudoalteromonas,Pseudoalteromonas,BT,2,17,19,20,15,10,NA,NA,NA,16.2,13.2,3,3.962322551,0.215713522,0.276517635,nd,0.411426246,nd
M10,M10_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,3,4,NA,NA,NA,NA,NA,NA,3.5,1.5,2,0.707106781,0.019583525,0.847996907,weak_positive,-3.342392197,weak_negative
M3,M3_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,2,0,NA,NA,NA,NA,NA,NA,1,1.5,-0.5,1.414213562,0.541469739,-0.321928095,nd,1.135655099,ns_positive
M4,M4_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,0,1,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,1.207804885,positive
M6,M6_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,-0.690315501,nd
Man5,Man5_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,1.198981035,positive
Man6,Man6_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,0.536753408,nd
T10,T10_3_Pseudoalteromonas,Pseudoalteromonas,BT,3,0,1,0,0,NA,NA,NA,NA,0.25,0.125,0.125,0.5,0.623573522,0.321928095,nd,1.133266531,nd
T12,T12_3_Psychrobacillus,Psychrobacillus,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.166819091,nd
M12,M12_1_Psychrobacter,Psychrobacter,BT,1,4,6,NA,NA,NA,NA,NA,NA,5,1.5,3.5,1.414213562,0.009541994,1.263034406,positive,1.233957173,positive
M8_2,M8_2_1_Psychrobacter,Psychrobacter,BT,1,5,9,NA,NA,NA,NA,NA,NA,7,1.5,5.5,2.828427125,0.013328375,1.678071905,positive,1.207804885,positive
M9,M9_1_Rheinheimera,Rheinheimera,BT,1,0,1,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,1.284881108,positive
2Man5,2Man5_1_Shewanella,Shewanella,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,-0.020464103,nd
H20,H20_4_Shewanella,Shewanella,BT,4,3,16,14,4,8,2,12,0,7.375,0.125,7.25,6.022280062,0.00431988,3.06608919,positive,-2.268488836,negative
H31,H31_1_Shewanella,Shewanella,BT,1,3,4,NA,NA,NA,NA,NA,NA,3.5,1.5,2,0.707106781,0.019583525,0.847996907,weak_positive,0.342105977,nd
KM8,KM8_2_Shewanella,Shewanella,BT,2,13,14,15,18,20,NA,NA,NA,16,13.2,2.8,2.915475947,0.175022751,0.259643817,nd,0.22650853,nd
M15,M15_1_Shewanella,Shewanella,BT,1,1,0,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,-1.979822118,nd
M7,M7_1_Shewanella,Shewanella,BT,1,3,0,NA,NA,NA,NA,NA,NA,1.5,1.5,0,2.121320344,1,0,nd,-1.449307401,nd
Man2,Man2_1_Shewanella,Shewanella,BT,1,2,1,NA,NA,NA,NA,NA,NA,1.5,1.5,0,0.707106781,1,0,nd,-1.242856524,nd
H25,H25_1_Shewnallea,Shewnallea,BT,1,1,2,NA,NA,NA,NA,NA,NA,1.5,1.5,0,0.707106781,1,0,nd,0.792767386,nd
KM17,KM17_2_Solibacillus,Solibacillus,BT,2,9,9,12,14,13,NA,NA,NA,11.4,13.2,-1.8,2.302172887,0.321383794,-0.195550809,nd,-1.415037499,negative
H22,H22_1_Sphingomonadaceae,Sphingomonadaceae,BT,1,3,0,NA,NA,NA,NA,NA,NA,1.5,1.5,0,2.121320344,1,0,nd,1.079071571,ns_positive
T13,T13_3_Sphingomonadaceae,Sphingomonadaceae,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,0.438121112,nd
KM14,KM14_2_Sphingorhabdus,Sphingorhabdus,BT,2,14,15,18,10,14,NA,NA,NA,14.2,13.2,1,2.863564213,0.606498718,0.098180394,nd,0.731183242,weak_positive
KM16,KM16_2_Sphingorhabdus,Sphingorhabdus,BT,2,21,10,13,14,16,NA,NA,NA,14.8,13.2,1.6,4.086563348,0.501997644,0.154033629,nd,0.014355293,nd
T6,T6_3_Sporosarcina,Sporosarcina,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.600392541,positive
T3,T3_3_Streptomyces,Streptomyces,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.116193018,nd
*Mal1,*Mal1_2_Sulfitobacter,Sulfitobacter,BT,2,22,20,27,20,22,NA,NA,NA,22.2,13.2,9,2.863564213,0.001313795,0.708233876,positive,0.480265122,nd
*Mal1,*Mal1_3_Sulfitobacter,Sulfitobacter,BT,3,0,1,2,2,NA,NA,NA,NA,1.25,0.125,1.125,0.957427108,0.012224865,1.169925001,positive,1.367731785,weak_positive
*Mal1,*Mal1_1_Sulfitobacter,Sulfitobacter,BT,1,11,3,NA,NA,NA,NA,NA,NA,7,1.5,5.5,5.656854249,0.091515685,1.678071905,ns_positive,0.49410907,nd
*Mal1,*Mal1_4_Sulfitobacter,Sulfitobacter,BT,4,0,0,12,0,0,1,0,0,1.625,0.125,1.5,4.206712323,0.33195312,1.392317423,ns_positive,1.396200857,positive
*MH2,*MH2_2_Sulfitobacter,Sulfitobacter,BT,2,5,2,6,10,3,NA,NA,NA,5.2,13.2,-8,3.1144823,0.003368466,-1.195550809,negative,-0.268816758,nd
*MH2,*MH2_3_Sulfitobacter,Sulfitobacter,BT,3,0,0,1,2,NA,NA,NA,NA,0.75,0.125,0.625,0.957427108,0.120905164,0.807354922,nd,1.768269714,positive
*MH2,*MH2_1_Sulfitobacter,Sulfitobacter,BT,1,3,18,NA,NA,NA,NA,NA,NA,10.5,1.5,9,10.60660172,0.122824577,2.201633861,ns_positive,1.117039421,ns_positive
*MH2,*MH2_4_Sulfitobacter,Sulfitobacter,BT,4,0,0,0,21,0,0,0,6,3.375,0.125,3.25,7.424621202,0.236545765,2.129283017,ns_positive,0.500898236,nd
H1,H1_1_Sulfitobacter,Sulfitobacter,BT,1,4,2,NA,NA,NA,NA,NA,NA,3,1.5,1.5,1.414213562,0.116116524,0.678071905,nd,1.144873629,ns_positive
H27,H27_1_Sulfitobacter,Sulfitobacter,BT,1,3,3,NA,NA,NA,NA,NA,NA,3,1.5,1.5,0,0.025721421,0.678071905,weak_positive,1.163135836,ns_positive
M13_2,M13_2_1_Sulfitobacter,Sulfitobacter,BT,1,7,3,NA,NA,NA,NA,NA,NA,5,1.5,3.5,2.828427125,0.054414755,1.263034406,ns_positive,1.207804885,positive
Man1,Man1_1_Sulfitobacter,Sulfitobacter,BT,1,5,6,NA,NA,NA,NA,NA,NA,5.5,1.5,4,0.707106781,0.001655168,1.378511623,positive,0.745070644,nd
MH3,MH3_1_Sulfitobacter,Sulfitobacter,BT,1,9,13,NA,NA,NA,NA,NA,NA,11,1.5,9.5,2.828427125,0.001859765,2.263034406,positive,1.251132317,positive
2MH1,2MH1_1_Unidentified,Unidentified,BT,1,0,1,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,-3.14974712,weak_negative
H23,H23_1_Unidentified,Unidentified,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,1.309684499,positive
KM11,KM11_2_Unidentified,Unidentified,BT,2,7,8,10,11,5,NA,NA,NA,8.2,13.2,-5,2.387467277,0.020001142,-0.626185163,weak_negative,-0.209227962,nd
KM2,KM2_2_Unidentified,Unidentified,BT,2,15,9,8,12,11,NA,NA,NA,11,13.2,-2.2,2.738612788,0.263079633,-0.242856524,nd,0.691534165,weak_positive
KM4,KM4_2_Unidentified,Unidentified,BT,2,0,18,10,4,15,NA,NA,NA,9.4,13.2,-3.8,7.469939759,0.322702634,-0.449307401,nd,0.669026766,weak_positive
KM5,KM5_2_Unidentified,Unidentified,BT,2,9,14,4,8,13,NA,NA,NA,9.6,13.2,-3.6,4.037325848,0.149578054,-0.421826665,nd,0.622930351,nd
KM6,KM6_2_Unidentified,Unidentified,BT,2,13,14,13,14,8,NA,NA,NA,12.4,13.2,-0.8,2.50998008,0.661637524,-0.083657929,nd,0.257010618,nd
KM9,KM9_2_Unidentified,Unidentified,BT,2,1,20,3,18,6,NA,NA,NA,9.6,13.2,-3.6,8.792041856,0.41195324,-0.421826665,nd,-0.736965594,nd
M14,M14_1_Unidentified,Unidentified,BT,1,6,3,NA,NA,NA,NA,NA,NA,4.5,1.5,3,2.121320344,0.04179468,1.137503524,weak_positive,-0.979822118,nd
M5,M5_1_Unidentified,Unidentified,BT,1,1,1,NA,NA,NA,NA,NA,NA,1,1.5,-0.5,0,0.3125,-0.321928095,nd,-1.14974712,nd
M8_1,M8_1_1_Unidentified,Unidentified,BT,1,3,4,NA,NA,NA,NA,NA,NA,3.5,1.5,2,0.707106781,0.019583525,0.847996907,weak_positive,1.126377286,ns_positive
Mal2,Mal2_1_Unidentified,Unidentified,BT,1,2,0,NA,NA,NA,NA,NA,NA,1,1.5,-0.5,1.414213562,0.541469739,-0.321928095,nd,-3.564784619,weak_negative
T17,T17_3_Unidentified,Unidentified,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.957495271,positive
T8,T8_3_Unidentified,Unidentified,BT,3,3,3,1,2,NA,NA,NA,NA,2.25,0.125,2.125,0.957427108,0.000181773,1.700439718,positive,1.353232215,nd
T9,T9_3_Unidentified,Unidentified,BT,3,1,0,0,0,NA,NA,NA,NA,0.25,0.125,0.125,0.5,0.623573522,0.321928095,nd,1.63076619,weak_positive
*2Man3,*2Man3_2_Vibrio,Vibrio,BT,2,13,5,10,9,2,NA,NA,NA,7.8,13.2,-5.4,4.324349662,0.051585752,-0.690315501,weak_negative,-3,negative
*2Man3,*2Man3_1_Vibrio,Vibrio,BT,1,1,0,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,-5.14974712,negative
*2Man3,*2Man3_4_Vibrio,Vibrio,BT,4,0,0,1,1,0,0,0,2,0.5,0.125,0.375,0.755928946,0.224449475,0.584962501,nd,-2.268488836,negative
*2Man3,*2Man3_3_Vibrio,Vibrio,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.04580369,nd
H19,H19_1_Vibrio,Vibrio,BT,1,1,0,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,0.49410907,nd
H30,H30_1_Vibrio,Vibrio,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,0.872620694,nd
H35,H35_1_Vibrio,Vibrio,BT,1,4,2,NA,NA,NA,NA,NA,NA,3,1.5,1.5,1.414213562,0.116116524,0.678071905,nd,-1.105353,nd
H36,H36_1_Vibrio,Vibrio,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,-0.723482365,nd
KM10,KM10_2_Vibrio,Vibrio,BT,2,10,19,15,15,14,NA,NA,NA,14.6,13.2,1.4,3.209361307,0.498510543,0.135655099,nd,0.176322773,nd
Man3,Man3_1_Vibrio,Vibrio,BT,1,8,5,NA,NA,NA,NA,NA,NA,6.5,1.5,5,2.121320344,0.007908643,1.584962501,positive,-1.564784619,nd
