Bacteria,Abs_1,Abs_2,Average_Abs,IAA ,Abs Difference,Day_Tested,Month_Tested,Year_Tested,Genus,Family,,,,
H21,0.048,0.049,0.0485,-1,0.001,10,11,2023,Jeotgalibacillus,Caryophanaceae,,,,
H22,0.05,0.051,0.0505,5.666666667,0.001,10,11,2023,Sphingomonadaceae,Sphingomonadaceae,,,,
H34,0.061,0.061,0.061,40.66666667,0,10,11,2023,Arthrobacter,Micrococcaceae,,,,
H35,0.06,0.063,0.0615,42.33333333,0.003,10,11,2023,Vibrio,Vibrionaceae,,,,
H36,0.068,0.062,0.065,54,0.006,10,11,2023,Vibrio,Vibrionaceae,,,,
H40,0.048,0.048,0.048,-2.666666667,0,10,11,2023,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
H37A,0.062,0.062,0.062,1.25,0,8,12,2023,Litorimonas,Hyphomonadaceae,,,,
T8,0.058,0.058,0.058,-3.75,0,8,12,2023,Unidentified,NA,,,,
T9,0.06,0.062,0.061,0,0.002,8,12,2023,Unidentified,NA,,,,
T11,0.058,0.059,0.0585,-3.125,0.001,8,12,2023,Bacillus,Bacillaceae,,,,
T4,0.061,0.06,0.0605,3.571428571,0.001,19,1,2024,Cellulophaga,Flavobacteriaceae,,,,
T5,0.061,0.061,0.061,4.285714286,0,19,1,2024,Cellulophaga,Flavobacteriaceae,,,,
T6,0.062,0.062,0.062,5.714285714,0,19,1,2024,Sporosarcina,Planococcaceae,,,,
T14,0.079,0.075,0.077,27.14285714,0.004,19,1,2024,Maribacter,Flavobacteriaceae,,,,
T15,0.07,0.073,0.0715,19.28571429,0.003,19,1,2024,Cellulophaga,Flavobacteriaceae,,,,
T16,0.061,0.06,0.0605,3.571428571,0.001,19,1,2024,Cellulophaga,Flavobacteriaceae,,,,
T17,0.058,0.056,0.057,-1.428571429,0.002,19,1,2024,Unidentified,NA,,,,
J7,0.067,0.065,0.066,11.42857143,0.002,19,1,2024,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
J10,0.07,0.078,0.074,22.85714286,0.008,19,1,2024,Alteromonas,Alteromonadaceae,,,,
MH1,0.061,0.061,0.061,4.285714286,0,19,1,2024,Olleya,Flavobacteriaceae,,,,
MH2,0.064,0.064,0.064,8.571428571,0,19,1,2024,Sulfitobacter,Rhodobacteraceae,,,,
MH3,0.069,0.07,0.0695,16.42857143,0.001,19,1,2024,Sulfitobacter,Rhodobacteraceae,,,,
2MH1,0.066,0.069,0.0675,13.57142857,0.003,19,1,2024,Unidentified,NA,,,,
2MH3,0.073,0.065,0.069,15.71428571,0.008,19,1,2024,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
T10,0.067,0.073,0.07,4,0.006,23,1,2024,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
T12,0.063,0.062,0.0625,-8.5,0.001,23,1,2024,Psychrobacillus,Bacillaceae,,,,
J12,0.062,0.063,0.0625,-8.5,0.001,23,1,2024,Aliiglaciecola,Alteromonadaceae,,,,
J13,0.059,0.06,0.0595,-13.5,0.001,23,1,2024,Cellulophaga,Flavobacteriaceae,,,,
MAN2,0.064,0.064,0.064,-6,0,23,1,2024,Shewanella,Shewanellaceae,,,,
MAN3,0.079,0.085,0.082,24,0.006,23,1,2024,Vibrio,Vibrionaceae,,,,
MAN4,0.061,0.061,0.061,-11,0,23,1,2024,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
MAN5,0.099,0.107,0.103,59,0.008,23,1,2024,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
MAN6,0.063,0.066,0.0645,-5.166666667,0.003,23,1,2024,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
MAL1,0.066,0.066,0.066,-2.666666667,0,23,1,2024,Sulfitobacter,Rhodobacteraceae,,,,
MAL2,0.065,0.064,0.0645,-5.166666667,0.001,23,1,2024,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
2MAL1,0.065,0.075,0.07,4,0.01,23,1,2024,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
2MAL2,0.065,0.066,0.0655,-3.5,0.001,23,1,2024,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
2MAL3,0.104,0.102,0.103,59,0.002,23,1,2024,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
D6,0.073,0.068,0.0705,4.833333333,0.005,23,1,2024,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
D9.2,0.059,0.057,0.058,-16,0.002,23,1,2024,Lacinutrix,Flavobacteriaceae,,,,
D11,0.066,0.071,0.0685,1.5,0.005,23,1,2024,Shewanella,Shewanellaceae,,,,
T7,0.129,0.094,0.1115,79,0.035,26,1,2024,Erythrobacter,Erythrobacteraceae,,,,
T13,0.058,0.055,0.0565,-31,0.003,26,1,2024,Sphingomonadaceae,Sphingomonadaceae,,,,
KM1,0.074,0.081,0.0775,11,0.007,26,1,2024,Hellea,Hyphomonadaceae,,,,
KM3,0.058,0.118,0.088,32,0.06,26,1,2024,Octadecabacter,Rhodobacteraceae,,,,
KM6,0.056,0.059,0.0575,-29,0.003,26,1,2024,Unidentified,NA,,,,
KM7,0.064,0.064,0.064,-16,0,26,1,2024,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
2MAN1,0.062,0.061,0.0615,-21,0.001,26,1,2024,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
2MAN2,0.058,0.06,0.059,-26,0.002,26,1,2024,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
2MAN3,0.082,0.073,0.0775,11,0.009,26,1,2024,Vibrio,Vibrionaceae,,,,
2MAN4,0.064,0.064,0.064,-16,0,26,1,2024,Colwellia,Colwelliaceae,,,,
2MAN5,0.06,0.062,0.061,-22,0.002,26,1,2024,Shewanella,Shewanellaceae,,,,
2MAN7,0.062,0.061,0.0615,-21,0.001,26,1,2024,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
KM2,0.092,0.081,0.0865,14.75,0.011,30,1,2024,Unidentified,NA,,,,
KM8,0.069,0.078,0.0735,3.916666667,0.009,30,1,2024,Shewanella,Shewanellaceae,,,,
KM11,0.066,0.065,0.0655,-2.75,0.001,30,1,2024,Unidentified,NA,,,,
KM15,0.069,0.074,0.0715,2.25,0.005,30,1,2024,Lacinutrix,Flavobacteriaceae,,,,
KM17,0.073,0.07,0.0715,2.25,0.003,30,1,2024,Solibacillus,Planococcaceae,,,,
KM18,0.071,0.068,0.0695,0.583333333,0.003,30,1,2024,Bacillus,Bacillaceae,,,,
D5,0.077,0.087,0.082,11,0.01,30,1,2024,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
