"Isolate
Identifier",,Genus,"Sample
treatment","Co-culture
Trial","Sample1
Sporophytes #","Sample2
Sporophytes #","Sample3
Sporophytes #","Sample4
Sporophytes #","Sample5
Sporophytes #","Sample6
Sporophytes #","Sample7
Sporophytes #","Sample8
Sporophytes #","Average of
Sporophytes #",control_Sporophytes#,difference,STD,"T.TEST
P-value","Log2
Fold
Change
",sporophyte_direction,Gametophyte_fold_change,gametophyte_direction,Gameto_pVal,
M1,M1_1_Erythrobacter,Erythrobacter,BT,1,0,7,NA,NA,NA,NA,NA,NA,3.5,1.5,2,4.949747468,0.412119453,0.847996907,nd,0.404841732,nd,0.681686525,Erythrobacter
T2,T2_3_Erythrobacter,Erythrobacter,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.73510285,positive,0.018100898,Erythrobacter
T7,T7_3_Erythrobacter,Erythrobacter,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.301304423,nd,0.132814197,Erythrobacter
H32,H32_1_Gillisia,Gillisia,BT,1,0,1,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,1.163135836,ns_positive,0.050427133,Gillisia
KM1,KM1_2_Hellea,Hellea,BT,2,19,19,20,15,10,NA,NA,NA,16.6,13.2,3.4,4.159326869,0.177958847,0.309684499,nd,0.22650853,nd,0.574947134,Hellea
KM13,KM13_2_Janibacter,Janibacter,BT,2,6,6,8,4,5,NA,NA,NA,5.8,13.2,-7.4,1.483239697,0.00119261,-1.062284278,negative,0.641546029,weak_positive,0.04241739,Janibacter
KM15,KM15_2_Lacinutrix,Lacinutrix,BT,2,16,6,16,15,5,NA,NA,NA,11.6,13.2,-1.6,5.594640292,0.589391954,-0.172467196,nd,0.042644337,nd,0.92901332,Lacinutrix
*H37A,*H37A_3_Litorimonas,Litorimonas,BT,3,0,2,1,2,NA,NA,NA,NA,1.25,0.125,1.125,0.957427108,0.012224865,1.169925001,positive,-1.146841388,nd,0.49501006,Litorimonas
*H37A,*H37A_4_Litorimonas,Litorimonas,BT,4,7,3,14,4,10,4,2,5,6.125,0.125,6,4.051013982,0.00093793,2.832890014,positive,1.664396968,positive,0.006691195,Litorimonas
*H37A,*H37A_2_Litorimonas,Litorimonas,BT,2,0,11,11,13,9,NA,NA,NA,8.8,13.2,-4.4,5.118593557,0.136803373,-0.535037275,nd,0.695993813,weak_positive,0.03639027,Litorimonas
H10,H10_1_Litorimonas,Litorimonas,BT,1,3,5,NA,NA,NA,NA,NA,NA,4,1.5,2.5,1.414213562,0.029015364,1,weak_positive,0.85025288,nd,0.151016076,Litorimonas
M17,M17_1_Loktanella,Loktanella,BT,1,5,1,NA,NA,NA,NA,NA,NA,3,1.5,1.5,2.828427125,0.3125,0.678071905,nd,1.107640723,ns_positive,0.081497665,Loktanella
*M16,*M16_2_Maribacter,Maribacter,BT,2,31,22,22,24,12,NA,NA,NA,22.2,13.2,9,6.797058187,0.026915702,0.708233876,weak_positive,0.709290636,weak_positive,0.034707859,Maribacter
*M16,*M16_3_Maribacter,Maribacter,BT,3,0,3,1,1,NA,NA,NA,NA,1.25,0.125,1.125,1.258305739,0.034287706,1.169925001,weak_positive,2.14172811,positive,0.001143678,Maribacter
*M16,*M16_4_Maribacter,Maribacter,BT,4,4,2,16,1,0,2,11,8,5.5,0.125,5.375,5.656854249,0.017866151,2.700439718,positive,2.294447358,positive,7.46695E-13,Maribacter
*M16,*M16_1_Maribacter,Maribacter,BT,1,29,21,NA,NA,NA,NA,NA,NA,25,1.5,23.5,5.656854249,0.00070008,3.378511623,positive,1.190102883,positive,0.044710545,Maribacter
H8,H8_1_Maribacter,Maribacter,BT,1,7,5,NA,NA,NA,NA,NA,NA,6,1.5,4.5,1.414213562,0.003882537,1.485426827,positive,1,ns_positive,0.099195885,Maribacter
T14,T14_3_Maribacter,Maribacter,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.150140349,nd,0.291156907,Maribacter
*H12,*H12_4_Nonlabens,Nonlabens,BT,4,2,0,0,18,14,7,0,0,5.125,0.125,5,7.199950397,0.069977238,2.614709844,positive,-0.499101764,nd,0.267803255,Nonlabens
*H12,*H12_3_Nonlabens,Nonlabens,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.863426947,positive,0.010169679,Nonlabens
*H12,H12_1_Nonlabens,Nonlabens,BT,1,1,2,NA,NA,NA,NA,NA,NA,1.5,1.5,0,0.707106781,1,0,nd,1.010124217,ns_positive,0.083331151,Nonlabens
*KM3,*KM3_2_Octadecabacter,Octadecabacter,BT,2,15,8,5,12,9,NA,NA,NA,9.8,13.2,-3.4,3.834057903,0.158525614,-0.394859617,nd,0.632268215,ns_positive,0.078159678,Octadecabacter
*KM3,*KM3_4_Octadecabacter,Octadecabacter,BT,4,0,4,0,0,0,0,0,0,0.5,0.125,0.375,1.414213562,0.478846886,0.584962501,nd,1.500898236,positive,0.011520903,Octadecabacter
*KM3,*KM3_3_Octadecabacter,Octadecabacter,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,2.023083613,positive,0.002481126,Octadecabacter
H2,H2_1_Octadecabacter,Octadecabacter,BT,1,1,0,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,0.631612594,nd,0.295857117,Octadecabacter
KM12,KM12_2_Octadecabacter,Octadecabacter,BT,2,13,17,15,18,14,NA,NA,NA,15.4,13.2,2.2,2.073644135,0.217406253,0.207804885,nd,-0.655171503,nd,0.313070334,Octadecabacter
H26,H26_2_Olleya,Olleya,BT,2,16,15,13,15,9,NA,NA,NA,13.6,13.2,0.4,2.792848009,0.833692525,0.040077439,nd,0.220329955,nd,0.560903209,Olleya
M2,M2_1_Olleya,Olleya,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,-0.792195115,nd,0.392963824,Olleya
MH1,MH1_1_Olleya,Olleya,BT,1,1,3,NA,NA,NA,NA,NA,NA,2,1.5,0.5,1.414213562,0.541469739,0.263034406,nd,1.172180975,weak_positive,0.049323291,Olleya
*Man4,*Man4_4_Pseudoalteromonas,Pseudoalteromonas,BT,4,0,7,3,1,10,0,2,8,3.875,0.125,3.75,3.907410542,0.0171408,2.285402219,positive,0.202816883,nd,0.583994325,Pseudoalteromonas
*Man4,*Man4_2_Pseudoalteromonas,Pseudoalteromonas,BT,2,16,16,15,17,15,NA,NA,NA,15.8,13.2,2.6,0.836660027,0.101829255,0.242570303,nd,0.555816155,nd,0.110367838,Pseudoalteromonas
*Man4,*Man4_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,7,2,NA,NA,NA,NA,NA,NA,4.5,1.5,3,3.535533906,0.132418922,1.137503524,nd,-1.626185163,nd,0.200645821,Pseudoalteromonas
*Man4,*Man4_3_Pseudoalteromonas,Pseudoalteromonas,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,0.478763097,nd,0.701007683,Pseudoalteromonas
2Mal1,2Mal1_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,2,3,NA,NA,NA,NA,NA,NA,2.5,1.5,1,0.707106781,0.132418922,0.485426827,nd,-1.50589093,nd,0.217489504,Pseudoalteromonas
2Mal2,2Mal2_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,0,3,NA,NA,NA,NA,NA,NA,1.5,1.5,0,2.121320344,1,0,nd,-0.757429697,nd,0.407067197,Pseudoalteromonas
2Mal3,2Mal3_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,1,0,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,1.181169759,positive,0.045485013,Pseudoalteromonas
2Man1,2Man1_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,3,0,NA,NA,NA,NA,NA,NA,1.5,1.5,0,2.121320344,1,0,nd,0.225292312,nd,0.845212565,Pseudoalteromonas
2Man2,2Man2_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,6,2,NA,NA,NA,NA,NA,NA,4,1.5,2.5,2.828427125,0.126613874,1,nd,-0.827819025,nd,0.383349598,Pseudoalteromonas
2Man7,2Man7_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,1,1,NA,NA,NA,NA,NA,NA,1,1.5,-0.5,0,0.3125,-0.321928095,nd,-0.14974712,nd,0.845233759,Pseudoalteromonas
2MH3,2MH3_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,0,3,NA,NA,NA,NA,NA,NA,1.5,1.5,0,2.121320344,1,0,nd,1.163135836,weak_positive,0.048309023,Pseudoalteromonas
H28,H28_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,2,1,NA,NA,NA,NA,NA,NA,1.5,1.5,0,0.707106781,1,0,nd,-1.449307401,nd,0.225166765,Pseudoalteromonas
H33,H33_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,3,0,NA,NA,NA,NA,NA,NA,1.5,1.5,0,2.121320344,1,0,nd,1.079071571,ns_positive,0.0951416,Pseudoalteromonas
J7,J7_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,3,1,NA,NA,NA,NA,NA,NA,2,1.5,0.5,1.414213562,0.541469739,0.263034406,nd,0.7206176,nd,0.219194151,Pseudoalteromonas
KM7,KM7_2_Pseudoalteromonas,Pseudoalteromonas,BT,2,17,19,20,15,10,NA,NA,NA,16.2,13.2,3,3.962322551,0.215713522,0.276517635,nd,0.411426246,nd,0.281795118,Pseudoalteromonas
M10,M10_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,3,4,NA,NA,NA,NA,NA,NA,3.5,1.5,2,0.707106781,0.019583525,0.847996907,weak_positive,-3.342392197,weak_negative,0.11047136,Pseudoalteromonas
M3,M3_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,2,0,NA,NA,NA,NA,NA,NA,1,1.5,-0.5,1.414213562,0.541469739,-0.321928095,nd,1.135655099,ns_positive,0.054297876,Pseudoalteromonas
M4,M4_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,0,1,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,1.207804885,positive,0.041498872,Pseudoalteromonas
M6,M6_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,-0.690315501,nd,0.437439166,Pseudoalteromonas
Man5,Man5_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,1.198981035,positive,0.04304925,Pseudoalteromonas
Man6,Man6_1_Pseudoalteromonas,Pseudoalteromonas,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,0.536753408,nd,0.554611989,Pseudoalteromonas
T10,T10_3_Pseudoalteromonas,Pseudoalteromonas,BT,3,0,1,0,0,NA,NA,NA,NA,0.25,0.125,0.125,0.5,0.623573522,0.321928095,nd,1.133266531,nd,0.289622606,Pseudoalteromonas
T12,T12_3_Psychrobacillus,Psychrobacillus,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.166819091,nd,0.291491659,Psychrobacillus
M12,M12_1_Psychrobacter,Psychrobacter,BT,1,4,6,NA,NA,NA,NA,NA,NA,5,1.5,3.5,1.414213562,0.009541994,1.263034406,positive,1.233957173,positive,0.037452186,Psychrobacter
M8_2,M8_2_1_Psychrobacter,Psychrobacter,BT,1,5,9,NA,NA,NA,NA,NA,NA,7,1.5,5.5,2.828427125,0.013328375,1.678071905,positive,1.207804885,positive,0.041220748,Psychrobacter
M9,M9_1_Rheinheimera,Rheinheimera,BT,1,0,1,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,1.284881108,positive,0.032044073,Rheinheimera
2Man5,2Man5_1_Shewanella,Shewanella,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,-0.020464103,nd,0.979342579,Shewanella
H20,H20_4_Shewanella,Shewanella,BT,4,3,16,14,4,8,2,12,0,7.375,0.125,7.25,6.022280062,0.00431988,3.06608919,positive,-2.268488836,negative,0.000307212,Shewanella
H31,H31_1_Shewanella,Shewanella,BT,1,3,4,NA,NA,NA,NA,NA,NA,3.5,1.5,2,0.707106781,0.019583525,0.847996907,weak_positive,0.342105977,nd,0.65762715,Shewanella
KM8,KM8_2_Shewanella,Shewanella,BT,2,13,14,15,18,20,NA,NA,NA,16,13.2,2.8,2.915475947,0.175022751,0.259643817,nd,0.22650853,nd,0.656162666,Shewanella
M15,M15_1_Shewanella,Shewanella,BT,1,1,0,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,-1.979822118,nd,0.177868594,Shewanella
M7,M7_1_Shewanella,Shewanella,BT,1,3,0,NA,NA,NA,NA,NA,NA,1.5,1.5,0,2.121320344,1,0,nd,-1.449307401,nd,0.242066999,Shewanella
Man2,Man2_1_Shewanella,Shewanella,BT,1,2,1,NA,NA,NA,NA,NA,NA,1.5,1.5,0,0.707106781,1,0,nd,-1.242856524,nd,0.289629537,Shewanella
H25,H25_1_Shewnallea,Shewnallea,BT,1,1,2,NA,NA,NA,NA,NA,NA,1.5,1.5,0,0.707106781,1,0,nd,0.792767386,nd,0.27258723,Shewnallea
KM17,KM17_2_Solibacillus,Solibacillus,BT,2,9,9,12,14,13,NA,NA,NA,11.4,13.2,-1.8,2.302172887,0.321383794,-0.195550809,nd,-1.415037499,negative,0.040057803,Solibacillus
H22,H22_1_Sphingomonadaceae,Sphingomonadaceae,BT,1,3,0,NA,NA,NA,NA,NA,NA,1.5,1.5,0,2.121320344,1,0,nd,1.079071571,ns_positive,0.068480888,Sphingomonadaceae
T13,T13_3_Sphingomonadaceae,Sphingomonadaceae,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,0.438121112,nd,0.699593241,Sphingomonadaceae
KM14,KM14_2_Sphingorhabdus,Sphingorhabdus,BT,2,14,15,18,10,14,NA,NA,NA,14.2,13.2,1,2.863564213,0.606498718,0.098180394,nd,0.731183242,weak_positive,0.03266184,Sphingorhabdus
KM16,KM16_2_Sphingorhabdus,Sphingorhabdus,BT,2,21,10,13,14,16,NA,NA,NA,14.8,13.2,1.6,4.086563348,0.501997644,0.154033629,nd,0.014355293,nd,0.980169922,Sphingorhabdus
T6,T6_3_Sporosarcina,Sporosarcina,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.600392541,positive,0.044711039,Sporosarcina
T3,T3_3_Streptomyces,Streptomyces,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.116193018,nd,0.24599621,Streptomyces
*Mal1,*Mal1_2_Sulfitobacter,Sulfitobacter,BT,2,22,20,27,20,22,NA,NA,NA,22.2,13.2,9,2.863564213,0.001313795,0.708233876,positive,0.480265122,nd,0.24063174,Sulfitobacter
*Mal1,*Mal1_3_Sulfitobacter,Sulfitobacter,BT,3,0,1,2,2,NA,NA,NA,NA,1.25,0.125,1.125,0.957427108,0.012224865,1.169925001,positive,1.367731785,weak_positive,0.063209895,Sulfitobacter
*Mal1,*Mal1_1_Sulfitobacter,Sulfitobacter,BT,1,11,3,NA,NA,NA,NA,NA,NA,7,1.5,5.5,5.656854249,0.091515685,1.678071905,ns_positive,0.49410907,nd,0.406740472,Sulfitobacter
*Mal1,*Mal1_4_Sulfitobacter,Sulfitobacter,BT,4,0,0,12,0,0,1,0,0,1.625,0.125,1.5,4.206712323,0.33195312,1.392317423,ns_positive,1.396200857,positive,0.033488649,Sulfitobacter
*MH2,*MH2_2_Sulfitobacter,Sulfitobacter,BT,2,5,2,6,10,3,NA,NA,NA,5.2,13.2,-8,3.1144823,0.003368466,-1.195550809,negative,-0.268816758,nd,0.64448536,Sulfitobacter
*MH2,*MH2_3_Sulfitobacter,Sulfitobacter,BT,3,0,0,1,2,NA,NA,NA,NA,0.75,0.125,0.625,0.957427108,0.120905164,0.807354922,nd,1.768269714,positive,0.015328289,Sulfitobacter
*MH2,*MH2_1_Sulfitobacter,Sulfitobacter,BT,1,3,18,NA,NA,NA,NA,NA,NA,10.5,1.5,9,10.60660172,0.122824577,2.201633861,ns_positive,1.117039421,ns_positive,0.077408871,Sulfitobacter
*MH2,*MH2_4_Sulfitobacter,Sulfitobacter,BT,4,0,0,0,21,0,0,0,6,3.375,0.125,3.25,7.424621202,0.236545765,2.129283017,ns_positive,0.500898236,nd,0.464026997,Sulfitobacter
H1,H1_1_Sulfitobacter,Sulfitobacter,BT,1,4,2,NA,NA,NA,NA,NA,NA,3,1.5,1.5,1.414213562,0.116116524,0.678071905,nd,1.144873629,ns_positive,0.056266395,Sulfitobacter
H27,H27_1_Sulfitobacter,Sulfitobacter,BT,1,3,3,NA,NA,NA,NA,NA,NA,3,1.5,1.5,0,0.025721421,0.678071905,weak_positive,1.163135836,ns_positive,0.050427133,Sulfitobacter
M13_2,M13_2_1_Sulfitobacter,Sulfitobacter,BT,1,7,3,NA,NA,NA,NA,NA,NA,5,1.5,3.5,2.828427125,0.054414755,1.263034406,ns_positive,1.207804885,positive,0.041220748,Sulfitobacter
Man1,Man1_1_Sulfitobacter,Sulfitobacter,BT,1,5,6,NA,NA,NA,NA,NA,NA,5.5,1.5,4,0.707106781,0.001655168,1.378511623,positive,0.745070644,nd,0.208292361,Sulfitobacter
MH3,MH3_1_Sulfitobacter,Sulfitobacter,BT,1,9,13,NA,NA,NA,NA,NA,NA,11,1.5,9.5,2.828427125,0.001859765,2.263034406,positive,1.251132317,positive,0.037655816,Sulfitobacter
2MH1,2MH1_1_Unidentified,Unidentified,BT,1,0,1,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,-3.14974712,weak_negative,0.114711686,Unidentified
H23,H23_1_Unidentified,Unidentified,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,1.309684499,positive,0.028743154,Unidentified
KM11,KM11_2_Unidentified,Unidentified,BT,2,7,8,10,11,5,NA,NA,NA,8.2,13.2,-5,2.387467277,0.020001142,-0.626185163,weak_negative,-0.209227962,nd,0.711966005,Unidentified
KM2,KM2_2_Unidentified,Unidentified,BT,2,15,9,8,12,11,NA,NA,NA,11,13.2,-2.2,2.738612788,0.263079633,-0.242856524,nd,0.691534165,weak_positive,0.037653098,Unidentified
KM4,KM4_2_Unidentified,Unidentified,BT,2,0,18,10,4,15,NA,NA,NA,9.4,13.2,-3.8,7.469939759,0.322702634,-0.449307401,nd,0.669026766,weak_positive,0.040854217,Unidentified
KM5,KM5_2_Unidentified,Unidentified,BT,2,9,14,4,8,13,NA,NA,NA,9.6,13.2,-3.6,4.037325848,0.149578054,-0.421826665,nd,0.622930351,nd,0.106442817,Unidentified
KM6,KM6_2_Unidentified,Unidentified,BT,2,13,14,13,14,8,NA,NA,NA,12.4,13.2,-0.8,2.50998008,0.661637524,-0.083657929,nd,0.257010618,nd,0.563184527,Unidentified
KM9,KM9_2_Unidentified,Unidentified,BT,2,1,20,3,18,6,NA,NA,NA,9.6,13.2,-3.6,8.792041856,0.41195324,-0.421826665,nd,-0.736965594,nd,0.185748959,Unidentified
M14,M14_1_Unidentified,Unidentified,BT,1,6,3,NA,NA,NA,NA,NA,NA,4.5,1.5,3,2.121320344,0.04179468,1.137503524,weak_positive,-0.979822118,nd,0.341625781,Unidentified
M5,M5_1_Unidentified,Unidentified,BT,1,1,1,NA,NA,NA,NA,NA,NA,1,1.5,-0.5,0,0.3125,-0.321928095,nd,-1.14974712,nd,0.291967813,Unidentified
M8_1,M8_1_1_Unidentified,Unidentified,BT,1,3,4,NA,NA,NA,NA,NA,NA,3.5,1.5,2,0.707106781,0.019583525,0.847996907,weak_positive,1.126377286,ns_positive,0.055089527,Unidentified
Mal2,Mal2_1_Unidentified,Unidentified,BT,1,2,0,NA,NA,NA,NA,NA,NA,1,1.5,-0.5,1.414213562,0.541469739,-0.321928095,nd,-3.564784619,weak_negative,0.106493887,Unidentified
T17,T17_3_Unidentified,Unidentified,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.957495271,positive,0.00555154,Unidentified
T8,T8_3_Unidentified,Unidentified,BT,3,3,3,1,2,NA,NA,NA,NA,2.25,0.125,2.125,0.957427108,0.000181773,1.700439718,positive,1.353232215,nd,0.146205644,Unidentified
T9,T9_3_Unidentified,Unidentified,BT,3,1,0,0,0,NA,NA,NA,NA,0.25,0.125,0.125,0.5,0.623573522,0.321928095,nd,1.63076619,weak_positive,0.069229052,Unidentified
*2Man3,*2Man3_2_Vibrio,Vibrio,BT,2,13,5,10,9,2,NA,NA,NA,7.8,13.2,-5.4,4.324349662,0.051585752,-0.690315501,weak_negative,-3,negative,0.006930376,Vibrio
*2Man3,*2Man3_1_Vibrio,Vibrio,BT,1,1,0,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,-5.14974712,negative,0.092429974,Vibrio
*2Man3,*2Man3_4_Vibrio,Vibrio,BT,4,0,0,1,1,0,0,0,2,0.5,0.125,0.375,0.755928946,0.224449475,0.584962501,nd,-2.268488836,negative,0.000297241,Vibrio
*2Man3,*2Man3_3_Vibrio,Vibrio,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.04580369,nd,0.203590831,Vibrio
H19,H19_1_Vibrio,Vibrio,BT,1,1,0,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,0.49410907,nd,0.406740472,Vibrio
H30,H30_1_Vibrio,Vibrio,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,0.872620694,nd,0.132598395,Vibrio
H35,H35_1_Vibrio,Vibrio,BT,1,4,2,NA,NA,NA,NA,NA,NA,3,1.5,1.5,1.414213562,0.116116524,0.678071905,nd,-1.105353,nd,0.29548592,Vibrio
H36,H36_1_Vibrio,Vibrio,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,-0.723482365,nd,0.421783814,Vibrio
KM10,KM10_2_Vibrio,Vibrio,BT,2,10,19,15,15,14,NA,NA,NA,14.6,13.2,1.4,3.209361307,0.498510543,0.135655099,nd,0.176322773,nd,0.696181799,Vibrio
Man3,Man3_1_Vibrio,Vibrio,BT,1,8,5,NA,NA,NA,NA,NA,NA,6.5,1.5,5,2.121320344,0.007908643,1.584962501,positive,-1.564784619,nd,0.234651726,Vibrio
